Nombre Local;Empresa Farmacéutica;Empresa RUT;Empresa Razón Social      ;Número;Tipo                         ;Dirección                                      ;Región;Comuna;Nro Resolución Apertura;Fecha Res.;Latitud;Longitud;Tipo Recetario;Alopática;Homeopática
IBERIA;ALVARADO Y CIA LTDA;79.769.700-1;ALVARADO Y CIA LTDA;0001;FARMACIA PRIVADA;VICTORIA Nº 3092;VALPARAISO;VALPARAISO;343;05/03/1998;-33,0507822;-71,60297689;INDEPENDIENTE;SI;NO
BOTICA UNIÓN;BRUNO MOGGIA GARDELLA Y CIA LTDA;4.567.085-6;BRUNO MOGGIA GARDELLA Y CIA LTDA;0037;FARMACIA PRIVADA;CONDELL 1205;VALPARAISO;VALPARAISO;804;23/04/1997;-33,04365268;-71,62436012;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;0010;FARMACIA PRIVADA;ARLEGUI N° 580 L - 7 OF. 201;VALPARAISO;VIÑA DEL MAR;576;26/02/1998;-33,0236944;-71,55424005;INDEPENDIENTE;SI;SI
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;0008;FARMACIA PRIVADA;AV. PEDRO MONTT N° 2060;VALPARAISO;VALPARAISO;477;23/07/2008;-33,04716024;-71,61534274;CENTRALIZADO;SI;SI
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;17;FARMACIA PRIVADA;AMERICO VESPUCIO 7500 LOCAL B3-1B;METROPOLITANA;LA FLORIDA;33126;27/05/2013;-33,52163;-70,597311;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;7;FARMACIA PRIVADA;IRARRAZAVAL 2661;METROPOLITANA;ÑUÑOA;101;04/03/1999;-33,45427;-70,603641;INDEPENDIENTE;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;15;FARMACIA PRIVADA;TENIENTE CRUZ 540. INTERIOR SUPERBODEGA ACUENTA;METROPOLITANA;PUDAHUEL;9386;24/02/2009;-33,458155;-70,738266;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;5;FARMACIA PRIVADA;AV. CONCHA Y TORO 157;METROPOLITANA;PUENTE ALTO;39297;11/09/2006;-33,610491;-70,575739;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;13;FARMACIA PRIVADA;AV. CARRASCAL 4436. INTERIOR EKONO;METROPOLITANA;QUINTA NORMAL;44339;08/10/2008;-33,422899;-70,694128;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;16;FARMACIA PRIVADA;AV. CARRASCAL 6001. INTERIOR SUPERBODEGA ACUENTA;METROPOLITANA;QUINTA NORMAL;10045;27/02/2009;-33,4164;-70,711824;SIN RECETARIO;SI;NO
