;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
0;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;Total País;8.601.989 ;8.972.014 ;17.574.003 
1;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;0 a 4;594.059 ;572.087 ;1.166.146 
2;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;5 a 9;618.121 ;592.068 ;1.210.189 
3;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;10 a 14;585.855 ;561.560 ;1.147.415 
4;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;15 a 19;636.064 ;608.633 ;1.244.697 
5;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;20 a 24;702.706 ;685.116 ;1.387.822 
6;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;25 a 29;742.265 ;731.885 ;1.474.150 
7;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;30 a 34;645.359 ;648.278 ;1.293.637 
8;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;35 a 39;595.608 ;612.169 ;1.207.777 
9;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;40 a 44;586.674 ;611.829 ;1.198.503 
10;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;45 a 49;562.483 ;598.280 ;1.160.763 
11;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;50 a 54;569.852 ;615.102 ;1.184.954 
12;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;55 a 59;499.406 ;548.373 ;1.047.779 
13;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;60 a 64;399.562 ;447.353 ;846.915 
14;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;65 a 69;303.259 ;349.743 ;653.002 
15;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;70 a 74;232.909 ;283.000 ;515.909 
16;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;75 a 79;155.526 ;208.063 ;363.589 
17;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;80 a 84;94.996 ;144.450 ;239.446 
18;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;85 a 89;53.469 ;98.332 ;151.801 
19;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;90 a 94;18.029 ;40.854 ;58.883 
20;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;95 a 99;4.188 ;11.668 ;15.856 
21;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;PAÍS;100 o más;1.599 ;3.171 ;4.770 
22;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;Total Comunal;109.389;111.975;221.364
23;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;0 a 4;8.123;7.770;15.893
24;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;5 a 9;8.697;8.347;17.044
25;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;10 a 14;7.956;7.770;15.726
26;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;15 a 19;9.168;8.008;17.176
27;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;20 a 24;9.391;8.652;18.043
28;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;25 a 29;9.377;8.797;18.174
29;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;30 a 34;8.192;8.306;16.498
30;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;35 a 39;7.343;7.707;15.050
31;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;40 a 44;7.143;7.607;14.750
32;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;45 a 49;6.596;7.224;13.820
33;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;50 a 54;6.201;7.122;13.323
34;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;55 a 59;5.481;6.176;11.657
35;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;60 a 64;5.035;5.138;10.173
36;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;65 a 69;3.770;4.310;8.080
37;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;70 a 74;3.033;3.502;6.535
38;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;75 a 79;1.904;2.356;4.260
39;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;80 a 84;1.108;1.629;2.737
40;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;85 a 89;619;999;1.618
41;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;90 a 94;208;396;604
42;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;95 a 99;34;119;153
43;ARICA Y PARINACOTA;15;ARICA;151;ARICA;15101;100 o más;10;40;50
44;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;Total Comunal;726;529;1.255
45;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;0 a 4;32;29;61
46;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;5 a 9;38;30;68
47;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;10 a 14;34;31;65
48;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;15 a 19;29;20;49
49;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;20 a 24;46;26;72
50;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;25 a 29;65;39;104
51;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;30 a 34;52;41;93
52;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;35 a 39;51;33;84
53;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;40 a 44;59;30;89
54;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;45 a 49;48;34;82
55;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;50 a 54;56;40;96
56;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;55 a 59;57;41;98
57;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;60 a 64;54;34;88
58;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;65 a 69;39;42;81
59;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;70 a 74;28;27;55
60;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;75 a 79;20;11;31
61;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;80 a 84;10;8;18
62;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;85 a 89;5;7;12
63;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;90 a 94;2;4;6
64;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;95 a 99;0;2;2
65;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;100 o más;1;0;1
