Región;Número de Región;Comuna;Establecimiento;Teléfono;Pertenecencia;Dirección
De Arica Parinacota;XV;Arica;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica);;Perteneciente;Calle Arturo Prat 305
De Arica Parinacota;XV;Arica;PRAIS (S.S Arica);;Perteneciente;Calle Arturo Prat 305
De Arica Parinacota;XV;Arica;Clínica Dental Móvil Simple. Pat. PW4076 (Arica);;Perteneciente;Calle Arturo Prat 305
De Arica Parinacota;XV;Arica;Oficina Sanitaria Chacalluta;;Perteneciente;
De Arica Parinacota;XV;Arica;Hospital Dr. Juan Noé Crevanni (Arica);582584592;Perteneciente;Calle 18 de Septiembre 1000
De Arica Parinacota;XV;Arica;Clínica Hebe;582251921;No Perteneciente;Calle San Marcos 431
De Arica Parinacota;XV;Arica;Clínica San Agustín;582231223;No Perteneciente;Calle 21 de Mayo 720
De Arica Parinacota;XV;Arica;Clínica San José;582533496;No Perteneciente;Calle Juan Noé 1370
De Arica Parinacota;XV;Arica;Clínica Arica;582241300;No Perteneciente;Avenida Argentina 2249
De Arica Parinacota;XV;Arica;Complejo Penitenciario;582203400;No Perteneciente;
De Arica Parinacota;XV;Arica;Servicio Médico Estudiantil;582205131;No Perteneciente;Calle 18 de Septiembre 2222
De Arica Parinacota;XV;Arica;Centro Clínico Militar Arica;582232478;No Perteneciente;Avenida Gral. Velasquez 1700
De Arica Parinacota;XV;Arica;Policlínico del Trabajador AChS Arica;582231239;No Perteneciente;Calle Juan Noé 1367
De Arica Parinacota;XV;Arica;Instituto de Rehabilitación Infantil TELETÓN (Arica);582224703;No Perteneciente;Avenida Diego Portales 2471
De Arica Parinacota;XV;Arica;Centro Médico Monte Sinaí;582250911;No Perteneciente;Calle Esmeralda 1319
De Arica Parinacota;XV;Arica;Clínica Santo Domingo;582247654;No Perteneciente;Calle Campo Verde 2188
De Arica Parinacota;XV;Arica;Centro Integral de Salud;582231617;No Perteneciente;Calle Vicuña Mackenna 644
De Arica Parinacota;XV;Arica;Policlínico Institucional de Gendarmería de Chile (Arica);582255825;No Perteneciente;Calle Colón 30
De Arica Parinacota;XV;Arica;Policlínico del Agricultor;582229313;No Perteneciente;Avenida Manuel Castillo Ibaceta 3431
De Arica Parinacota;XV;Arica;Centro Odontológico Arisa;582231249;No Perteneciente;Calle Ricardo Silva Arriagada 482
De Arica Parinacota;XV;Arica;Centro de Salud Mutual CChC Arica;582241237;No Perteneciente;Avenida Argentina 2247
De Arica Parinacota;XV;Arica;Centro Dental Megasalud SpA;582232258;No Perteneciente;Calle San Marcos 121
De Arica Parinacota;XV;Arica;Clínica Dr. Héctor Sánchez;582252498;No Perteneciente;Calle 18 de Septiembre 1286
De Arica Parinacota;XV;Arica;Clínica Mella Arica y Compañía Ltda.;582256854;No Perteneciente;Calle Almirante Latorre 565
De Arica Parinacota;XV;Arica;Policlínico Médico-Dental de Carabineros;582244503;No Perteneciente;Calle 18 de Septiembre 1672
De Arica Parinacota;XV;Arica;Laboratorio Clínico San José Ltda.;582593038;No Perteneciente;Calle Juan Noé 1325
De Arica Parinacota;XV;Arica;Laboratorio Bionet;582230097;No Perteneciente;Calle 18 de Septiembre 1375
De Arica Parinacota;XV;Arica;Laboratorio Clínico y Hematológico Diagnotest;582251055;No Perteneciente;Calle Arturo Gallo 455
De Arica Parinacota;XV;Arica;Laboratorio Clínico Central;582253350;No Perteneciente;Calle Almirante Latorre 580
De Arica Parinacota;XV;Arica;Laboratorio Clínico San Martín;582232204;No Perteneciente;Calle Colón 330
De Arica Parinacota;XV;Arica;Laboratorio Clínico Dialab;582258073;No Perteneciente;Calle 18 de Septiembre 933
De Arica Parinacota;XV;Arica;Laboratorio Clínico del Norte - Labonorte;582233466;No Perteneciente;Calle Covadonga 286
De Arica Parinacota;XV;Arica;Laboratorio Clínico Chungará;582252172;No Perteneciente;Calle 18 de Septiembre 1315
De Arica Parinacota;XV;Arica;Laboratorio Clínico Biolascer;582251055;No Perteneciente;Calle 18 de Septiembre 1338
De Arica Parinacota;XV;Arica;Centro de Salud Familiar Víctor Bertín Soto;800500103;Perteneciente;Calle Belén 1635
De Arica Parinacota;XV;Arica;Centro de Salud Familiar Dr. Amador Neghme de Arica;800500101;Perteneciente;Calle Cancha Rayada 4149
De Arica Parinacota;XV;Arica;Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente);800500102;Perteneciente;Avenida Las Torres 2699
De Arica Parinacota;XV;Putre;Centro de Salud Familiar Putre;582200261;Perteneciente;Calle Baquedano 261
De Arica Parinacota;XV;Arica;Centro de Salud Familiar Remigio Sapunar;582204306;Perteneciente;Calle Silva Arriagada 1020
De Arica Parinacota;XV;Arica;Centro de Salud Ambiental de Arica;582583690;Perteneciente;Calle San Martín 253
De Arica Parinacota;XV;Arica;Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);;Perteneciente;Avenida Linderos Poniente 4752
De Arica Parinacota;XV;Arica;Posta de Salud Rural San Miguel de Azapa;;Perteneciente;
De Arica Parinacota;XV;Arica;Posta de Salud Rural Poconchile;;Perteneciente;
De Arica Parinacota;XV;Putre;Posta de Salud Rural Belén (Putre);;Perteneciente;
De Arica Parinacota;XV;General Lagos;Posta de Salud Rural Visviri;;Perteneciente;
De Arica Parinacota;XV;General Lagos;Posta de Salud Rural Alcérreca;;Perteneciente;
De Arica Parinacota;XV;Camarones;Posta de Salud Rural Codpa;;Perteneciente;
De Arica Parinacota;XV;Putre;Posta de Salud Rural Ticnamar;;Perteneciente;
De Arica Parinacota;XV;Arica;Posta de Salud Rural Sobraya;;Perteneciente;
De Arica Parinacota;XV;Arica;Centro de Salud Mental Comunitaria Norte;582204050;Perteneciente;
De Arica Parinacota;XV;Arica;ESSMA Sur de Arica;582204100;Perteneciente;Calle San Martín 235
De Arica Parinacota;XV;Arica;Centro Comunitario de Salud Familiar Dr. Miguel Massa;;Perteneciente;Calle Francisco Urzúa 4241
De Arica Parinacota;XV;Arica;Centro Comunitario de Salud Familiar Dr. René García Valenzuela;;Perteneciente;Calle Capitan Ávalos 1462
De Arica Parinacota;XV;Arica;Centro Comunitario de Salud Familiar Cerro La Cruz;582204370;Perteneciente;Calle Rafael Sotomayor 1496
De Arica Parinacota;XV;Arica;Policlínico Instituto de Seguridad del Trabajo;;No Perteneciente;Calle 18 de Septiembre 1266
De Arica Parinacota;XV;Arica;SAPU Marco Antonio Carvajal Moreno;582204846;Perteneciente;Avenida Cancha Rayada 4149
De Arica Parinacota;XV;Arica;SAPU Iris Véliz Hume;582203682;Perteneciente;Calle Barros Luco 2269
De Arica Parinacota;XV;Arica;Centro Médico Lifemed;;No Perteneciente;Calle Covadonga 286
De Tarapacá;I;Iquique;Policlínico Centro de Cumplimiento Penitenciario Iquique;572407900;No Perteneciente;
De Tarapacá;I;Pozo Almonte;Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte;572751228;No Perteneciente;Calle Libertad 624
De Tarapacá;I;Huara;SAPU Huara;572751590;Perteneciente;
De Tarapacá;I;Alto Hospicio;Centro de Diálisis Alto Hospicio;572324823;No Perteneciente;Calle Inglaterra, Sector La Pampa 3125
De Tarapacá;I;Iquique;Laboratorio Médico Bioclinic Ltda.;;No Perteneciente;Calle Juan Antonio Ríos 2889
De Tarapacá;I;Iquique;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);;Perteneciente;Calle Aníbal Pinto 815
De Tarapacá;I;Iquique;PRAIS (S.S. Iquique);;Perteneciente;Calle Aníbal Pinto 815
De Tarapacá;I;Iquique;Clínica Dental Móvil Simple. Pat. RW6740 (Iquique);572406100;Perteneciente;Calle Thompson 1846
De Tarapacá;I;Iquique;Hospital Dr. Ernesto Torres Galdames (Iquique);572575861;Perteneciente;Calle Héroes de la Concepción 502
De Tarapacá;I;Iquique;Clínica Iquique;572393200;No Perteneciente;Calle Bernardo O'Higgins 103
De Tarapacá;I;Iquique;Clínica Tarapacá;572397000;No Perteneciente;Calle Barros Arana 1550
De Tarapacá;I;Iquique;Centro Clínico Militar Iquique;572518182;No Perteneciente;Calle Diego Portales 1041
De Tarapacá;I;Iquique;Centro Médico y Dental Megasalud Iquique;572510540;No Perteneciente;Calle Ramírez 1162
De Tarapacá;I;Iquique;Centro de Salud Mutual CChC Iquique;572422735;No Perteneciente;Calle Orella 769
De Tarapacá;I;Iquique;Policlínico Naval de Iquique;572517187;No Perteneciente;Pasaje Isaza 1055
De Tarapacá;I;Iquique;Policlínico FACH de Iquique;;No Perteneciente;Calle Diego Portales 1605
De Tarapacá;I;Iquique;Policlínico Carabineros de Iquique;572557040;No Perteneciente;Calle Pedro Lagos 1105
De Tarapacá;I;Pica;Clínica Coposa Cía. Minera Doña Inés de Collahuasi;572516621;No Perteneciente;
De Tarapacá;I;Alto Hospicio;Clínica Establecimiento Penitenciario Alto Hospicio;572512602;No Perteneciente;
De Tarapacá;I;Iquique;Centro de Atención Instituto de Seguridad del Trabajador Iquique;572425667;No Perteneciente;Calle Patricio Lynch 261
De Tarapacá;I;Iquique;Policlínico del Trabajador AChS Iquique;572402914;No Perteneciente;Calle Amunategui 1517
