;;                Listado de productos Bioequivalentes,                              ;;;;;
;;                actualizado al 31 de Mayo de 2016;;;;;
;;;;;;;
N°;Principio Activo;Producto ;Registro;Titular;Estado;Vigencia;Uso / Tratamiento
1;PREGABALINA;PLENICA 75 CÁPSULAS 75 mg ;F-18790/16;DEUTSCHE PHARMA S.A.;EQUIVALENTE TERAPÉUTICO;Sí;Anticonvulsivantes
2;PREGABALINA;PLENICA 150 CÁPSULAS 150 mg;F-18791/16;DEUTSCHE PHARMA S.A.;EQUIVALENTE TERAPÉUTICO;Sí;Anticonvulsivantes
3;ISOTRETINOÍNA;ORALNE CÁPSULAS BLANDAS 10 mg;F-19577/12;DEUTSCHE PHARMA S.A.;EQUIVALENTE TERAPÉUTICO;Sí;Acné
4;ISOTRETINOÍNA;ORALNE CÁPSULAS BLANDAS 20 mg;F-19579/12;DEUTSCHE PHARMA S.A.;EQUIVALENTE TERAPÉUTICO;Sí;Acné
5;ISOTRETINOÍNA;ORALNE CÁPSULAS BLANDAS 5 mg (ISOTRETINOÍNA);F-21607/14;DEUTSCHE PHARMA S.A.;EQUIVALENTE TERAPÉUTICO;Sí;Acné
6;TAMSULOSINA;SULIX L.C. COMPRIMIDOS DE LIBERACIÓN PROLONGADA 0,4 mg;F-21587/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
7;SEVELAMER;BRATESSE COMPRIMIDOS RECUBIERTOS 800 mg (SEVELAMER  CARBONATO) ;F-21490/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Insuficiencia Renal
8;Voriconazol;ZIVENAD LIOFILIZADO PARA SOLUCIÓN INYECTABLE 200 mg (VORICONAZOL);F-21518/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Derivados del triazol
9;TAMSULOSINA;SULIX CÁPSULAS CON GRÁNULOS DE LIBERACIÓN PROLONGADA 0,4 mg (TAMSULOSINA CLORHIDRATO);F-21523/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
10;IMATINIB;KADIR COMPRIMIDOS RECUBIERTOS 100 mg;F-20734/13;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Leucemia
11;IMATINIB;KADIR COMPRIMIDOS RECUBIERTOS 400 mg;F-20735/13;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Leucemia
12;VORICONAZOL;ZIVENAD COMPRIMIDOS RECUBIERTOS 200 mg;F-20946/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antifúngico
13;LINEZOLIDA;LINEZET SOLUCIÓN INYECTABLE 2 mg/mL;F-21018/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antibiótico
14;PEMETREXED;BEMETAD LIOFILIZADO PARA SOLUCIÓN INYECTABLE 100 mg;F-21105/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
15;PEMETREXED;BEMETAD LIOFILIZADO PARA SOLUCIÓN INYECTABLE 500 mg ;F-21106/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
16;RASAGILINA;PARZET COMPRIMIDOS 1 mg;F-21289/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Parkinson
17;MEMANTINA;MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg ;F-21148/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Alzheimer
18;MEMANTINA;MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg;F-21149/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Alzheimer
19;ESCITALOPRAM;LUNDYA COMPRIMIDOS RECUBIERTOS 10 mg;F-21219/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antidepresivo
20;ESCITALOPRAM;LUNDYA COMPRIMIDOS RECUBIERTOS 20 mg;F-21220/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antidepresivo
21;CELECOXIB;CELEDOX CÁPSULAS  200 mg;F-21203/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Analgésico / Antiinflamatorio
22;LEVETIRACETAM;PREBB COMPRIMIDOS RECUBIERTOS 1000 mg;F-21228/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antiepiléptico - Estabilizador del estado de ánimo
23;LEVETIRACETAM;PREBB COMPRIMIDOS RECUBIERTOS 500 mg;F-21229/14;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antiepiléptico - Estabilizador del estado de ánimo
24;MEMANTINA;MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg;F-20156/13;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Alzheimer
25;MEMANTINA;MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg ;F-20157/13;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Alzheimer
26;IMATINIB;KADIR CÁPSULAS 100 mg;F-20533/13;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Leucemia
27;BENDAMUSTINA;AVECTAR LIOFILIZADO PARA SOLUCIÓN CONCENTRADA PARA PERFUSIÓN 25 mg (BENDAMUSTINA CLORHIDRATO);F-21692/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
28;BENDAMUSTINA;AVECTAR LIOFILIZADO PARA SOLUCIÓN CONCENTRADA PARA PERFUSIÓN 100 mg (BENDAMUSTINA CLORHIDRATO);F-21693/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
29;BISOPROLOL;TENBILOL COMPRIMIDOS RECUBIERTOS 10 mg (BISOPROLOL FUMARATO);F-21789/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Hipertensión arterial - insuficiencia cardíaca
30;BISOPROLOL;TENBILOL COMPRIMIDOS RECUBIERTOS 5 mg ( BISOPROLOL FUMARATO);F-21832/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Hipertensión arterial - insuficiencia cardíaca
31;CINACALCET;DRIADA COMPRIMIDOS RECUBIERTOS 30 mg (CINACALCET);F-21845/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;hiper paratiroidismo (HPT)
32;CINACALCET;DRIADA COMPRIMIDOS RECUBIERTOS 60 mg (CINACALCET);F-21846/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;hiper paratiroidismo (HPT)
33;CINACALCET;DRIADA COMPRIMIDOS RECUBIERTOS 90 mg (CINACALCET);F-21847/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;hiper paratiroidismo (HPT)
34;CLOZAPINA;LODUX COMPRIMIDOS 25 mg (CLOZAPINA);F-21886/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Trastornos mentales
35;CLOZAPINA;LODUX COMPRIMIDOS 100 mg (CLOZAPINA);F-21887/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Trastornos mentales
36;PEMETREXED;BEMETAD LIOFILIZADO PARA SOLUCIÓN INYECTABLE 1 g;F-21970/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Cáncer
37;ATORVASTATINA;ATORVASTATINA COMPRIMIDOS RECUBIERTOS 20 mg;F-22049/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Disminución del colesterol
38;ONDANSETRON;LEVROX COMPRIMIDOS RECUBIERTOS 8 mg (ONDANSETRON);F-22014/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antiemético
39;ATORVASTATINA;ATORVASTATINA COMPRIMIDOS RECUBIERTOS 10 mg;F-22096/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Disminución del colesterol
40;LINEZOLIDA;LINEZET COMPRIMIDOS RECUBIERTOS 600 mg (Linezolid);F-22121/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Antibiótico
41;ARIPIPRAZOL;AZDIR ODT COMPRIMIDOS BUCODISPERSABLES 15 mg (ARIPIPRAZOL);F-22287/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Esquizofrenia
42;LORCASERINA;LORCALINE COMPRIMIDOS RECUBIERTOS 10 mg (LORCASERINA CLORHIDRATO);F-22338/15;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Obesidad
43;ARIPIPRAZOL;AZDIR ODT COMPRIMIDOS BUCODISPERSABLES 10 mg (ARIPRAZOL);F-22421/16;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Esquizofrenia
44;QUETIAPINA;QUETIAPINA COMPRIMIDOS RECUBIERTOS 25 mg;F-22422/16;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Trastornos mentales
45;ARIPIPRAZOL;AZDIR COMPRIMIDOS 15 mg (ARIPIPRAZOL);F-22459/16;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Esquizofrenia
46;ARIPIPRAZOL;AZDIR COMPRIMIDOS 30 mg (ARIPIPRAZOL);F-22460/16;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Esquizofrenia
47;ARIPIPRAZOL;AZDIR COMPRIMIDOS 5 mg;F-22474/16;SYNTHON CHILE LTDA.;EQUIVALENTE TERAPÉUTICO;Sí;Esquizofrenia
