CUT (Código Único Territorial),Nombre,Unnamed: 2,Provincia,Región,Superficie (km²),Población 2020,Densidad (hab./km²),IDH 2005,IDH 2005.1,Latitud,Longitud
15101,Arica,,Arica,Arica y Parinacota,"4.799,4",247.552,51.6,0.866,Alto,"-18°27'18""","-70°17'24"""
15102,Camarones,,Arica,Arica y Parinacota,3.927,1.233,0.31,0.791,Alto,"-19°1'1.2""","-69°52'1.2"""
15201,Putre,,Parinacota,Arica y Parinacota,"5.902,5",2.515,0.43,0.817,Alto,"-18°12'0""","-69°34'58.8"""
15202,General Lagos,,Parinacota,Arica y Parinacota,"2.244,4",810.0,0.36,0.773,Medio,"-17°39'10.8""","-69°38'6"""
1101,Iquique,,Iquique,Tarapacá,"2.242,1",223.463,996,0.826,Alto,"-20°14'38.4""","-70°8'20.4"""
1107,Alto Hospicio,,Iquique,Tarapacá,572.9,129.999,2268,0.735,Medio,"-20°15'25.2""","-70°1'19.2"""
1401,Pozo Almonte,,Tamarugal,Tarapacá,"13.765,8",17.395,1.26,0.772,Alto,"-20°17'27.6""","-69°41'45.6"""
1402,Camiña,,Tamarugal,Tarapacá,"2.200,2",1.375,0.62,0.699,Medio,"-20°28'58.8""","-69°22'1.2"""
1403,Colchane,,Tamarugal,Tarapacá,"4.015,6",1.583,0.39,0.683,Medio,"-19°17'2.4""","-68°40'30"""
1404,Huara,,Tamarugal,Tarapacá,"10.474,6",3.0,0.29,0.746,Medio,"-19°48'32.4""","-69°58'19.2"""
1405,Pica,,Tamarugal,Tarapacá,"8.934,3",5.958,066,0.823,Alto,"-20°28'58.8""","-69°22'40.8"""
2101,Antofagasta,,Antofagasta,Antofagasta,"30.718,1",425.725,13.8,0.854,Alto,"-23°39'3.6""","-70°23'42"""
2102,Mejillones,,Antofagasta,Antofagasta,"3.803,9",14.776,3.88,0.795,Alto,"-23°6'36""","-70°27'21.6"""
2103,Sierra Gorda,,Antofagasta,Antofagasta,12.886,1.746,0.14,0.809,Alto,"-22°53'52.8""","-69°19'22.8"""
2104,Taltal,,Antofagasta,Antofagasta,"20.405,1",13.657,0.67,0.776,Alto,"-25°24'36""","-70°29'20.4"""
2201,Calama,,El Loa,Antofagasta,"15.596,9",190.336,12.2,0.857,Alto,"-22°28'26.4""","-68°55'26.4"""
2202,Ollagüe,,El Loa,Antofagasta,2.964,287.0,0.09,0.739,Medio,"-21°13'58.8""","-68°16'1.2"""
2203,San Pedro de Atacama,,El Loa,Antofagasta,23.439,10.434,0.45,0.771,Alto,"-22°55'12""","-68°12'36"""
2301,Tocopilla,,Tocopilla,Antofagasta,"4.038,8",28.079,6.95,0.796,Medio,"-22°4'55.2""","-70°11'20.4"""
2302,María Elena,,Tocopilla,Antofagasta,12.197,6.814,0.55,0.779,Alto,"-22°19'1.2""","-69°40'37.2"""
3101,Copiapó,,Copiapó,Atacama,"16.681,3",171.766,10.2,0.725,Alto,"-27°22'30""","-70°19'44.4"""
3102,Caldera,,Copiapó,Atacama,"4.666,6",19.426,4.16,0.741,Alto,"-27°3'57.6""","-70°49'33.6"""
3103,Tierra Amarilla,,Copiapó,Atacama,11.191,14.312,1.27,0.686,Medio,"-27°28'22.8""","-70°16'58.8"""
3201,Chañaral,,Chañaral,Atacama,5.772,13.164,2.28,0.714,Alto,"-26°20'45.6""","-70°37'26.4"""
3202,Diego de Almagro,,Chañaral,Atacama,18.664,14.358,0.77,0.789,Alto,"-26°23'24""","-70°3'7.2"""
3301,Vallenar,,Huasco,Atacama,7.084,57.009,8.04,0.731,Alto,"-28°34'37.2""","-70°46'12"""
3302,Alto del Carmen,,Huasco,Atacama,5.939,5.729,0.96,0.664,Medio,"-28°44'56.4""","-70°29'27.6"""
3303,Freirina,,Huasco,Atacama,"3.207,9",7.681,2.39,0.693,Medio,"-28°30'21.6""","-71°4'33.6"""
3304,Huasco,,Huasco,Atacama,"1.601,4",11.264,7.03,0.695,Medio,"-28°27'21.6""","-71°11'9.6"""
4101,La Serena,,Elqui,Coquimbo,"1.892,8",249.656,131.8,0.781,Alto,"-29°54'25.2""","-71°14'49.2"""
4102,Coquimbo,,Elqui,Coquimbo,1.429,256.735,179.6,0.731,Alto,"-29°58'15.6""","-71°18'25.2"""
4103,Andacollo,,Elqui,Coquimbo,310,11.791,38.0,0.675,Medio,"-30°13'48""","-71°5'9.6"""
4104,La Higuera,,Elqui,Coquimbo,"4.158,2",4.45,1.07,0.67,Medio,"-29°30'0""","-71°16'58.8"""
4105,Paihuano,,Elqui,Coquimbo,1.495,4.675,3.12,0.734,Alto,"-30°2'16.8""","-70°30'25.2"""
4106,Vicuña,,Elqui,Coquimbo,7.610,29.741,3.90,0.716,Alto,"-30°1'8.4""","-70°42'54"""
4201,Illapel,,Choapa,Coquimbo,2.629,32.801,12.4,0.667,Medio,"-31°38'20.4""","-71°10'44.4"""
4202,Canela,,Choapa,Coquimbo,"2.196,6",9.546,4.34,0.644,Medio,"-31°23'45.6""","-71°25'8.4"""
4203,Los Vilos,,Choapa,Coquimbo,"1.823,8",23.374,12.8,0.675,Medio,"-31°54'54""","-71°30'21.6"""
4204,Salamanca,,Choapa,Coquimbo,3.445,29.11,8.44,0.676,Medio,"-31°46'48""","-70°58'1.2"""
4301,Ovalle,,Limarí,Coquimbo,3.835,121.269,31.6,0.725,Alto,"-30°35'56.4""","-71°11'20.4"""
4302,Combarbalá,,Limarí,Coquimbo,"2.257,5",13.884,6.14,0.661,Medio,"-31°10'48""","-71°0'14.4"""
4303,Monte Patria,,Limarí,Coquimbo,"4.366,9",32.527,7.44,0.653,Medio,"-30°46'30""","-70°56'34.8"""
4304,Punitaqui,,Limarí,Coquimbo,1.339,12.165,9.08,0.653,Medio,"-30°49'58.8""","-71°15'36"""
4305,Río Hurtado,,Limarí,Coquimbo,2.180,4.372,2.01,0.653,Medio,"-30°16'22.8""","-70°40'1.2"""
5101,Valparaíso,,Valparaíso,Valparaíso,401.6,315.732,810.2,0.701,Alto,"-33°2'60""","-71°36'57.6"""
5102,Casablanca,,Valparaíso,Valparaíso,953,29.17,30.6,0.712,Alto,"-33°19'30""","-71°24'36"""
